City ID,City Name,Country,Date,Humidity,Latitude,Longitude,Max Temp,Cloudiness,Wind Speed
2190299,Hanmer Springs,NZ,1572044460,39,-42.52,172.83,65.39,32,5.91
3870243,Taltal,CL,1572044462,80,-25.41,-70.49,54.95,0,3.13
2136825,Isangel,VU,1572044464,57,-19.55,169.27,78.8,75,9.17
934649,Cap Malheureux,MU,1572044466,94,-19.98,57.61,72.0,20,3.36
2064550,Northam,AU,1572044467,82,-31.65,116.67,59.0,0,6.93
6943820,Murdochville,CA,1572044469,91,48.96,-65.49,30.92,34,4.65
2158744,Margate,AU,1572044189,43,-43.03,147.26,60.01,75,5.82
1263967,Manali,IN,1572044472,58,32.25,77.19,41.92,0,6.46
3141310,Rorvik,NO,1572044474,84,64.86,11.24,44.01,100,3.0
1712961,Gigmoto,PH,1572044475,78,13.78,124.39,83.28,7,17.76
53654,Mogadishu,SO,1572044477,80,2.04,45.34,81.39,5,9.06
2185329,Waipawa,NZ,1572044479,56,-39.94,176.59,66.99,91,5.99
1303406,Nyaunglebin,MM,1572044480,97,17.95,96.73,73.92,40,3.47
1641899,Labuhan,ID,1572044482,80,-2.54,115.51,79.7,100,0.81
2022572,Khatanga,RU,1572044484,86,71.98,102.47,11.73,72,11.21
1314759,Lashio,MM,1572044485,94,22.93,97.75,63.3,77,1.07
4372777,Vardo,US,1572044487,67,39.62,-77.74,61.0,1,0.49
1259395,Porbandar,IN,1572044489,53,21.64,69.61,82.42,100,21.54
1490256,Talnakh,RU,1572044491,92,69.49,88.39,15.8,75,8.95
1497210,Novoagansk,RU,1572044492,91,61.94,76.66,18.86,67,12.48
2122605,Okhotsk,RU,1572044494,97,59.36,143.24,28.26,100,10.67
2120612,Tigil,RU,1572044495,85,57.8,158.67,28.15,96,7.29
2016910,Severobaykalsk,RU,1572044497,97,55.65,109.32,33.85,100,10.56
1635111,Puri,ID,1572044499,58,-7.54,112.45,81.64,59,3.89
787487,Poum,MK,1572044500,39,41.28,20.71,50.58,0,3.78
2145554,Ulladulla,AU,1572044502,25,-35.36,150.48,77.0,35,19.46
3600997,Taragual,HN,1572044504,94,14.75,-88.48,64.53,32,2.62
5859699,College,US,1572044505,68,64.86,-147.8,32.0,75,10.29
3437029,San Patricio,PY,1572044507,64,-26.98,-56.83,66.92,0,6.98
3421765,Nanortalik,GL,1572044508,73,60.14,-45.24,35.31,81,13.13
1802550,Longkou,CN,1572044510,47,37.64,120.47,48.78,53,1.59
4021858,Guerrero Negro,MX,1572044512,15,27.97,-114.04,87.66,0,11.45
217637,Businga,CD,1572044513,98,3.34,20.89,67.89,69,1.3
4145381,Wilmington,US,1572044249,82,39.75,-75.55,63.0,1,3.36
2139521,Noumea,NC,1572044517,47,-22.28,166.46,75.99,90,13.87
315468,Ergani,TR,1572044518,81,38.27,39.76,53.6,0,4.23
3429886,Punta Alta,AR,1572044520,37,-27.46,-55.82,82.4,0,6.93
3982007,Tepalcatepec,MX,1572044522,90,19.19,-102.85,69.75,45,5.21
3451138,Rio Grande,BR,1572044407,56,-32.03,-52.1,69.8,0,6.93
3902377,Trinidad,BO,1572044525,78,-14.83,-64.9,82.4,75,3.36
110690,Faya,SA,1572044527,87,18.39,42.45,62.6,28,0.67
2160517,Launceston,AU,1572044428,87,-41.43,147.14,48.99,75,16.11
2023778,Gusinoye Ozero,RU,1572044530,82,51.11,106.26,23.59,84,2.15
6050066,La Ronge,CA,1572044532,86,55.1,-105.3,39.2,90,9.17
563420,Ertil,RU,1572044533,89,51.84,40.8,46.11,0,3.53
2016735,Sherlovaya Gora,RU,1572044535,47,50.53,116.31,24.31,26,5.23
546798,Kochkurovo,RU,1572044537,93,54.03,45.43,42.91,2,6.71
2377457,Nouadhibou,MR,1572044538,51,20.93,-17.03,80.6,99,6.93
